"LLAVEVIV","P0_1","P0_2","P0_3","P0_4_1","P0_4_1A","P0_4_2","P0_4_2A","P1_1","P1_2","P1_3","FOLIO","VIV_SEL","ENT","TLOC","REGION","EST_DIS","UPM_DIS","FAC_VIV"
"0691516","01","02","01","1","2","2","","01","1","","06915","16","08","4","1","043","00482",3070
"0691603","01","02","01","2","","1","1","04","1","","06916","03","09","1","4","048","00570",4237
"0691705","02","04","01","1","1","2","","04","2","02","06917","05","28","4","2","160","01846",1388
"0691810","01","02","00","2","","2","","01","1","","06918","10","30","4","5","173","02043",4521
"0691905","01","02","01","2","","2","","02","1","","06919","05","08","1","1","044","00514",2406
"0692005","01","02","01","2","","1","1","01","1","","06920","05","24","1","2","138","01612",1244
"0692105","02","03","01","1","2","1","1","02","1","","06921","05","06","1","3","035","00426",769
"0692210","02","03","02","1","1","1","1","02","1","","06922","10","18","2","3","100","01209",1651
"0692304","02","04","01","2","","1","1","03","1","","06923","04","28","1","2","162","01861",1888
"0692411","04","05","01","1","1","1","1","06","1","","06924","11","13","4","5","070","00932",2540
"0692504","02","04","01","1","1","1","1","04","1","","06925","04","08","1","1","045","00534",2917
"0692602","03","04","02","1","2","1","1","04","1","","06926","02","19","2","2","108","01369",2811
"0692701","02","03","00","2","","2","","05","1","","06927","01","07","4","6","039","00448",4578
"0692801","02","05","01","1","1","1","1","02","1","","06928","01","08","1","1","046","00541",3394
"0692908","02","03","01","2","","1","2","03","1","","06929","08","25","4","1","143","01682",2124
"0693005","02","03","01","2","","1","1","04","1","","06930","05","25","1","1","146","01731",3077
"0693118","01","02","00","2","","1","1","04","1","","06931","18","11","4","3","057","00837",4691
"0693214","03","04","01","2","","1","1","05","1","","06932","14","18","2","3","100","01213",1488
"0693316","03","04","01","1","2","1","1","04","1","","06933","16","03","2","1","013","00147",488
"0693402","02","03","01","2","","2","","02","1","","06934","02","14","1","3","078","00978",9619
"0693501","01","02","01","1","1","2","","02","1","","06935","01","05","1","2","029","00297",1665
"0693610","01","03","01","2","","2","","01","1","","06936","10","13","4","5","071","00935",2985
"0693703","01","01","00","2","","1","1","01","1","","06937","03","20","3","6","109","01373",2841
"0693803","01","04","01","2","","1","1","02","1","","06938","03","17","1","5","097","01180",550
"0693904","02","06","02","1","1","1","1","01","1","","06939","04","09","1","4","050","00747",2236
"0694002","02","05","01","1","2","1","1","03","1","","06940","02","09","1","4","050","00734",2939
"0694102","02","03","01","1","1","2","","03","1","","06941","02","13","4","5","071","00936",2779
"0694205","02","05","02","1","1","1","1","03","1","","06942","05","31","1","6","184","02136",2363
"0694301","01","05","01","2","","1","1","02","1","","06943","01","19","1","2","106","01263",3596
"0694404","01","01","01","1","1","2","","03","1","","06944","04","23","1","6","132","01551",1406
"0694505","03","08","00","2","","1","1","06","1","","06945","05","19","1","2","106","01293",2525
"0694601","03","04","01","1","1","1","1","04","1","","06946","01","08","1","1","044","00514",2406
